Edges, Generation, Pheromone
ju, 84, 0.000000
yf, 84, 0.000000
jy, 84, 0.000000
bw, 84, 0.000000
od, 84, 0.000000
oj, 84, 0.000000
ie, 84, 0.000000
kj, 84, 0.000000
ml, 84, 0.000000
qp, 84, 0.000000
cd, 84, 4.524887
ad, 84, 4.524887
eh, 84, 0.000000
qv, 84, 0.000000
gn, 84, 0.000000
gr, 84, 0.000000
kv, 84, 0.000000
mx, 84, 0.000000
ta, 84, 0.000000
es, 84, 0.000000
iz, 84, 0.000000
ax, 84, 0.000000
cz, 84, 4.524887
lf, 84, 0.000000
fg, 85, 0.000000
rs, 85, 0.000000
ln, 85, 0.000000
tv, 85, 0.000000
fi, 85, 0.000000
pu, 85, 0.000000
rw, 85, 0.000000
bh, 85, 0.000000
pv, 85, 0.000000
ya, 85, 0.000000
ju, 85, 0.000000
yf, 85, 0.000000
jy, 85, 0.000000
bw, 85, 0.000000
od, 85, 0.000000
oj, 85, 0.000000
ie, 85, 0.000000
kj, 85, 0.000000
ml, 85, 0.000000
qp, 85, 0.000000
cd, 85, 4.524887
ad, 85, 4.524887
eh, 85, 0.000000
qv, 85, 0.000000
gn, 85, 0.000000
gr, 85, 0.000000
kv, 85, 0.000000
mx, 85, 0.000000
ta, 85, 0.000000
es, 85, 0.000000
iz, 85, 0.000000
ax, 85, 0.000000
cz, 85, 4.524887
lf, 85, 0.000000
fg, 86, 0.000000
rs, 86, 0.000000
ln, 86, 0.000000
tv, 86, 0.000000
fi, 86, 0.000000
pu, 86, 0.000000
rw, 86, 0.000000
bh, 86, 0.000000
pv, 86, 0.000000
ya, 86, 0.000000
ju, 86, 0.000000
yf, 86, 0.000000
jy, 86, 0.000000
bw, 86, 0.000000
od, 86, 0.000000
oj, 86, 0.000000
ie, 86, 0.000000
kj, 86, 0.000000
ml, 86, 0.000000
qp, 86, 0.000000
cd, 86, 4.524887
ad, 86, 4.524887
eh, 86, 0.000000
qv, 86, 0.000000
gn, 86, 0.000000
gr, 86, 0.000000
kv, 86, 0.000000
mx, 86, 0.000000
ta, 86, 0.000000
es, 86, 0.000000
iz, 86, 0.000000
ax, 86, 0.000000
cz, 86, 4.524887
lf, 86, 0.000000
fg, 87, 0.000000
rs, 87, 0.000000
ln, 87, 0.000000
tv, 87, 0.000000
fi, 87, 0.000000
pu, 87, 0.000000
rw, 87, 0.000000
bh, 87, 0.000000
pv, 87, 0.000000
ya, 87, 0.000000
ju, 87, 0.000000
yf, 87, 0.000000
jy, 87, 0.000000
bw, 87, 0.000000
od, 87, 0.000000
oj, 87, 0.000000
ie, 87, 0.000000
kj, 87, 0.000000
ml, 87, 0.000000
qp, 87, 0.000000
cd, 87, 4.524887
ad, 87, 4.524887
eh, 87, 0.000000
qv, 87, 0.000000
gn, 87, 0.000000
gr, 87, 0.000000
kv, 87, 0.000000
mx, 87, 0.000000
ta, 87, 0.000000
es, 87, 0.000000
iz, 87, 0.000000
ax, 87, 0.000000
cz, 87, 4.524887
lf, 87, 0.000000
fg, 88, 0.000000
rs, 88, 0.000000
ln, 88, 0.000000
tv, 88, 0.000000
fi, 88, 0.000000
pu, 88, 0.000000
rw, 88, 0.000000
bh, 88, 0.000000
pv, 88, 0.000000
ya, 88, 0.000000
ju, 88, 0.000000
yf, 88, 0.000000
jy, 88, 0.000000
bw, 88, 0.000000
od, 88, 0.000000
oj, 88, 0.000000
ie, 88, 0.000000
kj, 88, 0.000000
ml, 88, 0.000000
qp, 88, 0.000000
cd, 88, 4.524887
ad, 88, 4.524887
eh, 88, 0.000000
qv, 88, 0.000000
gn, 88, 0.000000
gr, 88, 0.000000
kv, 88, 0.000000
mx, 88, 0.000000
ta, 88, 0.000000
es, 88, 0.000000
iz, 88, 0.000000
ax, 88, 0.000000
cz, 88, 4.524887
lf, 88, 0.000000
fg, 89, 0.000000
rs, 89, 0.000000
ln, 89, 0.000000
tv, 89, 0.000000
fi, 89, 0.000000
pu, 89, 0.000000
rw, 89, 0.000000
bh, 89, 0.000000
pv, 89, 0.000000
ya, 89, 0.000000
ju, 89, 0.000000
yf, 89, 0.000000
jy, 89, 0.000000
bw, 89, 0.000000
od, 89, 0.000000
oj, 89, 0.000000
ie, 89, 0.000000
kj, 89, 0.000000
ml, 89, 0.000000
qp, 89, 0.000000
cd, 89, 4.524887
ad, 89, 4.524887
eh, 89, 0.000000
qv, 89, 0.000000
gn, 89, 0.000000
gr, 89, 0.000000
kv, 89, 0.000000
mx, 89, 0.000000
ta, 89, 0.000000
es, 89, 0.000000
iz, 89, 0.000000
ax, 89, 0.000000
cz, 89, 4.524887
lf, 89, 0.000000
fg, 90, 0.000000
rs, 90, 0.000000
ln, 90, 0.000000
tv, 90, 0.000000
fi, 90, 0.000000
pu, 90, 0.000000
rw, 90, 0.000000
bh, 90, 0.000000
pv, 90, 0.000000
ya, 90, 0.000000
ju, 90, 0.000000
yf, 90, 0.000000
jy, 90, 0.000000
bw, 90, 0.000000
od, 90, 0.000000
oj, 90, 0.000000
ie, 90, 0.000000
kj, 90, 0.000000
ml, 90, 0.000000
qp, 90, 0.000000
cd, 90, 4.524887
ad, 90, 4.524887
eh, 90, 0.000000
qv, 90, 0.000000
gn, 90, 0.000000
gr, 90, 0.000000
kv, 90, 0.000000
mx, 90, 0.000000
ta, 90, 0.000000
es, 90, 0.000000
iz, 90, 0.000000
ax, 90, 0.000000
cz, 90, 4.524887
lf, 90, 0.000000
fg, 91, 0.000000
rs, 91, 0.000000
ln, 91, 0.000000
tv, 91, 0.000000
fi, 91, 0.000000
pu, 91, 0.000000
rw, 91, 0.000000
bh, 91, 0.000000
pv, 91, 0.000000
ya, 91, 0.000000
ju, 91, 0.000000
yf, 91, 0.000000
jy, 91, 0.000000
bw, 91, 0.000000
od, 91, 0.000000
oj, 91, 0.000000
ie, 91, 0.000000
kj, 91, 0.000000
ml, 91, 0.000000
qp, 91, 0.000000
cd, 91, 4.524887
ad, 91, 4.524887
eh, 91, 0.000000
qv, 91, 0.000000
gn, 91, 0.000000
gr, 91, 0.000000
kv, 91, 0.000000
mx, 91, 0.000000
ta, 91, 0.000000
es, 91, 0.000000
iz, 91, 0.000000
ax, 91, 0.000000
cz, 91, 4.524887
lf, 91, 0.000000
fg, 92, 0.000000
rs, 92, 0.000000
ln, 92, 0.000000
tv, 92, 0.000000
fi, 92, 0.000000
pu, 92, 0.000000
rw, 92, 0.000000
bh, 92, 0.000000
pv, 92, 0.000000
ya, 92, 0.000000
ju, 92, 0.000000
yf, 92, 0.000000
jy, 92, 0.000000
bw, 92, 0.000000
od, 92, 0.000000
oj, 92, 0.000000
ie, 92, 0.000000
kj, 92, 0.000000
ml, 92, 0.000000
qp, 92, 0.000000
cd, 92, 4.524887
ad, 92, 4.524887
eh, 92, 0.000000
qv, 92, 0.000000
gn, 92, 0.000000
gr, 92, 0.000000
kv, 92, 0.000000
mx, 92, 0.000000
ta, 92, 0.000000
es, 92, 0.000000
iz, 92, 0.000000
ax, 92, 0.000000
cz, 92, 4.524887
lf, 92, 0.000000
fg, 93, 0.000000
rs, 93, 0.000000
ln, 93, 0.000000
tv, 93, 0.000000
fi, 93, 0.000000
pu, 93, 0.000000
rw, 93, 0.000000
bh, 93, 0.000000
pv, 93, 0.000000
ya, 93, 0.000000
ju, 93, 0.000000
yf, 93, 0.000000
jy, 93, 0.000000
bw, 93, 0.000000
od, 93, 0.000000
oj, 93, 0.000000
ie, 93, 0.000000
kj, 93, 0.000000
ml, 93, 0.000000
qp, 93, 0.000000
cd, 93, 4.524887
ad, 93, 4.524887
eh, 93, 0.000000
qv, 93, 0.000000
gn, 93, 0.000000
gr, 93, 0.000000
kv, 93, 0.000000
mx, 93, 0.000000
ta, 93, 0.000000
es, 93, 0.000000
iz, 93, 0.000000
ax, 93, 0.000000
cz, 93, 4.524887
lf, 93, 0.000000
fg, 94, 0.000000
rs, 94, 0.000000
ln, 94, 0.000000
tv, 94, 0.000000
fi, 94, 0.000000
pu, 94, 0.000000
rw, 94, 0.000000
bh, 94, 0.000000
pv, 94, 0.000000
ya, 94, 0.000000
ju, 94, 0.000000
yf, 94, 0.000000
jy, 94, 0.000000
bw, 94, 0.000000
od, 94, 0.000000
oj, 94, 0.000000
ie, 94, 0.000000
kj, 94, 0.000000
ml, 94, 0.000000
qp, 94, 0.000000
cd, 94, 4.524887
ad, 94, 4.524887
eh, 94, 0.000000
qv, 94, 0.000000
gn, 94, 0.000000
gr, 94, 0.000000
kv, 94, 0.000000
mx, 94, 0.000000
ta, 94, 0.000000
es, 94, 0.000000
iz, 94, 0.000000
ax, 94, 0.000000
cz, 94, 4.524887
lf, 94, 0.000000
fg, 95, 0.000000
rs, 95, 0.000000
ln, 95, 0.000000
tv, 95, 0.000000
fi, 95, 0.000000
pu, 95, 0.000000
rw, 95, 0.000000
bh, 95, 0.000000
pv, 95, 0.000000
ya, 95, 0.000000
ju, 95, 0.000000
yf, 95, 0.000000
jy, 95, 0.000000
bw, 95, 0.000000
od, 95, 0.000000
oj, 95, 0.000000
ie, 95, 0.000000
kj, 95, 0.000000
ml, 95, 0.000000
qp, 95, 0.000000
cd, 95, 4.524887
ad, 95, 4.524887
eh, 95, 0.000000
qv, 95, 0.000000
gn, 95, 0.000000
gr, 95, 0.000000
kv, 95, 0.000000
mx, 95, 0.000000
ta, 95, 0.000000
es, 95, 0.000000
iz, 95, 0.000000
ax, 95, 0.000000
cz, 95, 4.524887
lf, 95, 0.000000
fg, 96, 0.000000
rs, 96, 0.000000
ln, 96, 0.000000
tv, 96, 0.000000
fi, 96, 0.000000
pu, 96, 0.000000
rw, 96, 0.000000
bh, 96, 0.000000
pv, 96, 0.000000
ya, 96, 0.000000
ju, 96, 0.000000
yf, 96, 0.000000
jy, 96, 0.000000
bw, 96, 0.000000
od, 96, 0.000000
oj, 96, 0.000000
ie, 96, 0.000000
kj, 96, 0.000000
ml, 96, 0.000000
qp, 96, 0.000000
cd, 96, 4.524887
ad, 96, 4.524887
eh, 96, 0.000000
qv, 96, 0.000000
gn, 96, 0.000000
gr, 96, 0.000000
kv, 96, 0.000000
mx, 96, 0.000000
ta, 96, 0.000000
es, 96, 0.000000
iz, 96, 0.000000
ax, 96, 0.000000
cz, 96, 4.524887
lf, 96, 0.000000
fg, 97, 0.000000
rs, 97, 0.000000
ln, 97, 0.000000
tv, 97, 0.000000
fi, 97, 0.000000
pu, 97, 0.000000
rw, 97, 0.000000
bh, 97, 0.000000
pv, 97, 0.000000
ya, 97, 0.000000
ju, 97, 0.000000
yf, 97, 0.000000
jy, 97, 0.000000
bw, 97, 0.000000
od, 97, 0.000000
oj, 97, 0.000000
ie, 97, 0.000000
kj, 97, 0.000000
ml, 97, 0.000000
qp, 97, 0.000000
cd, 97, 4.524887
ad, 97, 4.524887
eh, 97, 0.000000
qv, 97, 0.000000
gn, 97, 0.000000
gr, 97, 0.000000
kv, 97, 0.000000
mx, 97, 0.000000
ta, 97, 0.000000
es, 97, 0.000000
iz, 97, 0.000000
ax, 97, 0.000000
cz, 97, 4.524887
lf, 97, 0.000000
fg, 98, 0.000000
rs, 98, 0.000000
ln, 98, 0.000000
tv, 98, 0.000000
fi, 98, 0.000000
pu, 98, 0.000000
rw, 98, 0.000000
bh, 98, 0.000000
pv, 98, 0.000000
ya, 98, 0.000000
ju, 98, 0.000000
yf, 98, 0.000000
jy, 98, 0.000000
bw, 98, 0.000000
od, 98, 0.000000
oj, 98, 0.000000
ie, 98, 0.000000
kj, 98, 0.000000
ml, 98, 0.000000
qp, 98, 0.000000
cd, 98, 4.524887
ad, 98, 4.524887
eh, 98, 0.000000
qv, 98, 0.000000
gn, 98, 0.000000
gr, 98, 0.000000
kv, 98, 0.000000
mx, 98, 0.000000
ta, 98, 0.000000
es, 98, 0.000000
iz, 98, 0.000000
ax, 98, 0.000000
cz, 98, 4.524887
lf, 98, 0.000000
fg, 99, 0.000000
rs, 99, 0.000000
ln, 99, 0.000000
tv, 99, 0.000000
fi, 99, 0.000000
pu, 99, 0.000000
rw, 99, 0.000000
bh, 99, 0.000000
pv, 99, 0.000000
ya, 99, 0.000000
ju, 99, 0.000000
yf, 99, 0.000000
jy, 99, 0.000000
bw, 99, 0.000000
od, 99, 0.000000
oj, 99, 0.000000
ie, 99, 0.000000
kj, 99, 0.000000
ml, 99, 0.000000
qp, 99, 0.000000
cd, 99, 4.524887
ad, 99, 4.524887
eh, 99, 0.000000
qv, 99, 0.000000
gn, 99, 0.000000
gr, 99, 0.000000
kv, 99, 0.000000
mx, 99, 0.000000
ta, 99, 0.000000
es, 99, 0.000000
iz, 99, 0.000000
ax, 99, 0.000000
cz, 99, 4.524887
lf, 99, 0.000000
fg, 100, 0.000000
rs, 100, 0.000000
ln, 100, 0.000000
tv, 100, 0.000000
fi, 100, 0.000000
pu, 100, 0.000000
rw, 100, 0.000000
bh, 100, 0.000000
pv, 100, 0.000000
ya, 100, 0.000000
ju, 100, 0.000000
yf, 100, 0.000000
jy, 100, 0.000000
bw, 100, 0.000000
od, 100, 0.000000
oj, 100, 0.000000
ie, 100, 0.000000
kj, 100, 0.000000
ml, 100, 0.000000
qp, 100, 0.000000
cd, 100, 4.524887
ad, 100, 4.524887
eh, 100, 0.000000
qv, 100, 0.000000
gn, 100, 0.000000
gr, 100, 0.000000
kv, 100, 0.000000
mx, 100, 0.000000
ta, 100, 0.000000
es, 100, 0.000000
iz, 100, 0.000000
ax, 100, 0.000000
cz, 100, 4.524887
lf, 100, 0.000000
